,Return %,Ann. Ret %,Ann. Vol %,Max Drawdown %,R2D Ratio,Win Rate %,Num Trades,Optimal Params
EmaRsiMeanReversion_BCHUSD_5min,0.21649700858872384,0.42992147811227177,0.14383450025839659,-0.03907290424447485,5.540847622539803,85.71428571428571,14,"['rsi_window: 8', 'lower_rsi_band: 20', 'upper_rsi_band: 70', 'ema_window: 70']"
EmaRsiMeanReversion_BCHUSD_15min,0.10303541320000077,0.20449448130448467,0.12290193110653055,-0.039461744423396894,2.6110202350535476,100.0,1,"['rsi_window: 10', 'lower_rsi_band: 20', 'upper_rsi_band: 70', 'ema_window: 50']"
EmaRsiMeanReversion_BCHUSD_30min,0.7987855575599824,1.5907725527090966,0.4534857304194553,-0.18402548160958432,4.3406247361690395,90.0,10,"['rsi_window: 10', 'lower_rsi_band: 30', 'upper_rsi_band: 80', 'ema_window: 70']"
EmaRsiMeanReversion_BCHUSD_60min,0.17270162269999273,0.3428784591269718,0.1067121776591548,-0.020865002932879406,8.277095539145444,100.0,6,"['rsi_window: 8', 'lower_rsi_band: 30', 'upper_rsi_band: 50', 'ema_window: 30']"
EmaRsiMeanReversion_ETHUSD_5min,0.018430338012997528,0.036563495529007284,0.026038294186700207,-0.0012360037906278265,14.9112309790214,100.0,1,"['rsi_window: 10', 'lower_rsi_band: 20', 'upper_rsi_band: 50', 'ema_window: 30']"
EmaRsiMeanReversion_ETHUSD_15min,0.1528073845136445,0.3033511637679176,0.2794535036307417,-0.11256972903359586,1.3574464984990764,70.58823529411765,17,"['rsi_window: 16', 'lower_rsi_band: 40', 'upper_rsi_band: 70', 'ema_window: 30']"
EmaRsiMeanReversion_ETHUSD_30min,0.05580663641844877,0.11073376821222336,0.050479275578909896,-0.009709849154704298,5.74742568389038,100.0,4,"['rsi_window: 10', 'lower_rsi_band: 30', 'upper_rsi_band: 50', 'ema_window: 30']"
EmaRsiMeanReversion_ETHUSD_60min,0.29116041680133203,0.5784007635126986,0.2606899858436537,-0.09480117452271841,3.071274362023411,71.66666666666667,60,"['rsi_window: 8', 'lower_rsi_band: 40', 'upper_rsi_band: 50', 'ema_window: 50']"
EmaRsiMeanReversion_USDTUSD_5min,0.023739175712002906,0.047096798050461075,0.044193000906298865,-0.01114312410158691,2.130387806470016,50.0,2,"['rsi_window: 14', 'lower_rsi_band: 40', 'upper_rsi_band: 90', 'ema_window: 40']"
EmaRsiMeanReversion_USDTUSD_15min,0.02768866436399985,0.05493336324668974,0.04238156535785648,-0.005110219814574712,5.418292239607736,100.0,1,"['rsi_window: 8', 'lower_rsi_band: 20', 'upper_rsi_band: 90', 'ema_window: 30']"
EmaRsiMeanReversion_USDTUSD_30min,-0.03257743173278868,-0.06461335492191633,0.014785567246969222,-0.03257743173278316,1.0000000000001696,0.0,11,"['rsi_window: 14', 'lower_rsi_band: 40', 'upper_rsi_band: 60', 'ema_window: 60']"
EmaRsiMeanReversion_USDTUSD_60min,-0.009084882458113135,-0.01802083655872977,0.006667513211731683,-0.009084882458110233,1.0000000000003195,0.0,4,"['rsi_window: 8', 'lower_rsi_band: 30', 'upper_rsi_band: 60', 'ema_window: 30']"
BbRsiMeanReversion_BCHUSD_5min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_BCHUSD_15min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_BCHUSD_30min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_BCHUSD_60min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_ETHUSD_5min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_ETHUSD_15min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_ETHUSD_30min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_ETHUSD_60min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_USDTUSD_5min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_USDTUSD_15min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_USDTUSD_30min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
BbRsiMeanReversion_USDTUSD_60min,0.0,0.0,0.0,-0.0,,,0,"['bb_window: 16', 'rsi_window: 8', 'lower_rsi_band: 10', 'upper_rsi_band: 50']"
MacdAdxTrendFollowing_BCHUSD_5min,-1.0072967888576794,-1.7673070449717443,0.7245766040371835,-1.065195220457693,0.9456452390246964,29.873417721518987,395,"['adx_window: 15', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 12', 'macd_long_window: 28', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_BCHUSD_15min,-1.3559967209541937,-2.649621339477659,1.1540526504266135,-1.6818027187273543,0.8062757336843271,32.95454545454545,176,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 8', 'macd_long_window: 24', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_BCHUSD_30min,0.613888609490951,1.29014127200493,1.0557503658725382,-0.6268568211035941,0.9793123227249689,34.146341463414636,82,"['adx_window: 13', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 14', 'macd_long_window: 28', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_BCHUSD_60min,0.4447480001848773,0.9082598186483049,1.1323058298810593,-0.6362282625848481,0.6990384211760244,45.09803921568628,51,"['adx_window: 7', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 14', 'macd_long_window: 28', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_ETHUSD_5min,-2.0473006006793937,-3.940704931267225,0.5531898974857012,-2.0590610494793826,0.9942884409362401,24.416517055655294,557,"['adx_window: 11', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 8', 'macd_long_window: 26', 'macd_signal_window: 9']"
MacdAdxTrendFollowing_ETHUSD_15min,-1.2121056483606574,-2.3728272650424875,0.5944202664934464,-1.2691798709144164,0.955030627366759,26.81564245810056,179,"['adx_window: 9', 'adx_threshold: 25', 'adx_exit_threshold: 20', 'macd_short_window: 14', 'macd_long_window: 28', 'macd_signal_window: 9']"
